AGE,GENDER,CITY,FOOD_TYPE,JOB,STATE,AGE GROUP
83,F,Muzzafarpur,Lebanese,CA,Bihar,Senior Citizen
87,F,Ludhiana,Italian,Self Employed,Punjab,Senior Citizen
54,F,Kargil,Chinese,Teacher,Jammu,Working
28,F,Kullu,Street Food,Business,Himachal Pradesh,Working
56,F,Ghaziabad,Thai,Data Scientist,Uttar Pradesh,Working
28,M,Hisar,Mughlai,Bank,Haryana,Working
9,M,Chandigarh,Italian,Business,Union Territory,Young
40,M,Ludhiana,Chinese,MNC,Punjab,Working
83,F,Khannauj,Street Food,Driver,Uttar Pradesh,Senior Citizen
47,M,Shimla,North Indian,Government Job,Himachal Pradesh,Working
83,F,Khannauj,Thai,Driver,Uttar Pradesh,Senior Citizen
97,F,Jaisalmer,Lebanese,Government Job,Rajasthan,Senior Citizen
92,M,Rewari,Street Food,Self Employed,Haryana,Senior Citizen
40,M,Rajauri,Italian,Teacher,Jammu,Working
38,M,Kanpur,Punjabi,Teacher,Uttar Pradesh,Working
18,F,Bikaner,Italian,Software Engineer,Rajasthan,Young
75,M,Nainital,Italian,Software Engineer,Uttarakhand,Senior Citizen
38,M,Pittorgarh,Continental,MNC,Uttarakhand,Working
56,F,Bikaner,Street Food,Software Engineer,Rajasthan,Working
44,F,Patna,Street Food,Service,Bihar,Working
15,M,Dalhousie,Thai,Business,Himachal Pradesh,Young
66,F,Rohtak,Street Food,Service,Haryana,Senior Citizen
34,F,Rajgir,Mughlai,Service,Bihar,Working
75,M,Varanasi,Mughlai,Software Engineer,Uttar Pradesh,Senior Citizen
78,F,Nainital,Street Food,Business,Uttarakhand,Senior Citizen
46,F,Udaipur,Lebanese,Self Employed,Rajasthan,Working
25,M,Jodhpur,Chinese,Software Engineer,Rajasthan,Working
64,F,Rajgir,Punjabi,Teacher,Bihar,Senior Citizen
19,M,Srinagar,North Indian,Service,Jammu,Young
16,F,Kargil,Lebanese,Teacher,Jammu,Young
53,M,Dharamshala,Punjabi,Self Employed,Himachal Pradesh,Working
45,F,Baramulla,Lebanese,CA,Jammu,Working
47,M,Khajjar,Street Food,Data Scientist,Himachal Pradesh,Working
10,M,Kathua,Street Food,Teacher,Jammu,Young
72,M,Una,Italian,Business,Himachal Pradesh,Senior Citizen
24,F,Jaisalmer,Thai,Software Engineer,Rajasthan,Working
51,M,Noida,Thai,Service,Uttar Pradesh,Working
82,F,Rajauri,Continental,MNC,Jammu,Senior Citizen
93,F,Rohtak,Punjabi,Business,Haryana,Senior Citizen
88,F,Leh,Mughlai,Data Scientist,Jammu,Senior Citizen
17,F,Jaisalmer,Street Food,Teacher,Rajasthan,Young
75,M,Lucknow,Thai,Government Job,Uttar Pradesh,Senior Citizen
17,F,Dras,North Indian,MNC,Jammu,Young
81,M,Gurgaon,Street Food,Data Scientist,Haryana,Senior Citizen
4,F,Alwar,Italian,CA,Rajasthan,Young
5,F,Manali,Punjabi,CA,Himachal Pradesh,Young
89,F,Nainital,Street Food,Self Employed,Uttarakhand,Senior Citizen
98,M,Kargil,Street Food,Software Engineer,Jammu,Senior Citizen
91,F,Jammu,Italian,Data Scientist,Jammu,Senior Citizen
2,M,Alwar,Mughlai,Data Scientist,Rajasthan,Young
75,F,Nainital,Mughlai,Teacher,Uttarakhand,Senior Citizen
81,F,Meerut,Italian,Service,Uttar Pradesh,Senior Citizen
3,F,Bareily,North Indian,Self Employed,Uttar Pradesh,Young
64,F,Jalandhar,Italian,MNC,Punjab,Senior Citizen
79,M,Jammu,Lebanese,Data Scientist,Jammu,Senior Citizen
29,F,Hisar,Punjabi,Software Engineer,Haryana,Working
40,F,Kathua,Street Food,MNC,Jammu,Working
66,F,Chittorgarh,Punjabi,Self Employed,Rajasthan,Senior Citizen
6,F,Dharamshala,Italian,Teacher,Himachal Pradesh,Young
38,F,Bhilwara,Italian,Business,Rajasthan,Working
34,F,Mussoorie,Chinese,Service,Uttarakhand,Working
20,M,Ghaziabad,Continental,Service,Uttar Pradesh,Young
79,M,Jodhpur,Street Food,Business,Rajasthan,Senior Citizen
6,F,Rohtak,Continental,Driver,Haryana,Young
90,F,Gurgaon,Street Food,Software Engineer,Haryana,Senior Citizen
58,M,Chandigarh,Lebanese,CA,Union Territory,Working
41,M,Srinagar,Italian,Bank,Jammu,Working
61,F,Ambala,Street Food,CA,Haryana,Senior Citizen
46,M,Khannauj,Street Food,Bank,Uttar Pradesh,Working
46,F,Jaipur,Italian,Driver,Rajasthan,Working
88,F,Bodh Gaya,Thai,Data Scientist,Bihar,Senior Citizen
1,F,Buxar,Punjabi,Business,Bihar,Young
67,F,Pittorgarh,North Indian,Data Scientist,Uttarakhand,Senior Citizen
25,M,Chittorgarh,Punjabi,Service,Rajasthan,Working
25,M,Pathankot,Continental,CA,Punjab,Working
92,F,Chittorgarh,Continental,Data Scientist,Rajasthan,Senior Citizen
56,M,Meerut,North Indian,Business,Uttar Pradesh,Working
21,F,Ghaziabad,Thai,Driver,Uttar Pradesh,Working
87,F,Agra,Mughlai,Teacher,Uttar Pradesh,Senior Citizen
53,F,Amritsar,Mughlai,Software Engineer,Punjab,Working
90,M,Una,Lebanese,Driver,Himachal Pradesh,Senior Citizen
96,M,Patna,Street Food,CA,Bihar,Senior Citizen
3,M,Alwar,Italian,Bank,Rajasthan,Young
9,M,Kanpur,Chinese,CA,Uttar Pradesh,Young
86,F,Pathankot,Punjabi,Government Job,Punjab,Senior Citizen
42,M,Bathinda,Italian,Bank,Punjab,Working
41,M,Patna,Italian,Teacher,Bihar,Working
72,F,Gulmarg,North Indian,CA,Jammu,Senior Citizen
80,F,Noida,Lebanese,Software Engineer,Uttar Pradesh,Senior Citizen
73,M,Khannauj,Italian,Self Employed,Uttar Pradesh,Senior Citizen
44,F,Ghaziabad,Lebanese,Business,Uttar Pradesh,Working
29,F,Jammu,Lebanese,Driver,Jammu,Working
47,M,Pittorgarh,Continental,Teacher,Uttarakhand,Working
69,F,Varanasi,North Indian,MNC,Uttar Pradesh,Senior Citizen
96,M,Srinagar,North Indian,Teacher,Jammu,Senior Citizen
17,F,Faridkot,Chinese,Service,Punjab,Young
72,M,Pittorgarh,North Indian,Data Scientist,Uttarakhand,Senior Citizen
57,M,Faridkot,Punjabi,Business,Punjab,Working
2,F,Alwar,Street Food,Data Scientist,Rajasthan,Young
64,M,Abohar,Punjabi,Self Employed,Punjab,Senior Citizen
94,F,Una,North Indian,Service,Himachal Pradesh,Senior Citizen
76,F,Lucknow,Italian,CA,Uttar Pradesh,Senior Citizen
58,F,Bhilwara,Continental,Government Job,Rajasthan,Working
12,F,Dalhousie,Street Food,Self Employed,Himachal Pradesh,Young
95,M,Shimla,Chinese,Government Job,Himachal Pradesh,Senior Citizen
17,M,Kasauli,Thai,MNC,Himachal Pradesh,Young
52,M,Abohar,North Indian,Software Engineer,Punjab,Working
88,F,Leh,Continental,Driver,Jammu,Senior Citizen
16,F,Khannauj,Chinese,MNC,Uttar Pradesh,Young
55,F,Haridwar,Mughlai,Bank,Uttarakhand,Working
51,F,Udaipur,Continental,Driver,Rajasthan,Working
39,M,Darbhanga,Punjabi,CA,Bihar,Working
20,F,Lucknow,North Indian,Self Employed,Uttar Pradesh,Young
12,F,Jodhpur,Mughlai,Business,Rajasthan,Young
81,F,Meerut,Street Food,Service,Uttar Pradesh,Senior Citizen
57,M,Chittorgarh,Italian,Data Scientist,Rajasthan,Working
55,F,Buxar,North Indian,Driver,Bihar,Working
67,M,Khannauj,Continental,Data Scientist,Uttar Pradesh,Senior Citizen
15,F,Bathinda,Continental,Teacher,Punjab,Young
89,F,Shimla,North Indian,CA,Himachal Pradesh,Senior Citizen
84,M,Rewari,Chinese,MNC,Haryana,Senior Citizen
17,M,Rewari,Continental,Data Scientist,Haryana,Young
25,M,Shimla,Street Food,MNC,Himachal Pradesh,Working
2,F,Rajgir,Italian,Data Scientist,Bihar,Young
11,M,Leh,Thai,Government Job,Jammu,Young
15,F,Bhilwara,Thai,Software Engineer,Rajasthan,Young
87,F,Gurgaon,Punjabi,Self Employed,Haryana,Senior Citizen
39,M,Mussoorie,Italian,Service,Uttarakhand,Working
34,F,Rohtak,Mughlai,Driver,Haryana,Working
52,F,Khannauj,Street Food,MNC,Uttar Pradesh,Working
99,F,Patiala,Thai,Teacher,Punjab,Senior Citizen
62,M,Jalandhar,Continental,Data Scientist,Punjab,Senior Citizen
95,F,Mussoorie,Chinese,Self Employed,Uttarakhand,Senior Citizen
8,F,Khajjar,Street Food,Data Scientist,Himachal Pradesh,Young
53,F,Bathinda,Italian,Software Engineer,Punjab,Working
22,M,Nainital,Punjabi,Business,Uttarakhand,Working
47,F,Rajauri,North Indian,Government Job,Jammu,Working
49,F,Alwar,Street Food,Government Job,Rajasthan,Working
26,F,Jaisalmer,Chinese,Business,Rajasthan,Working
15,M,Muzzafarpur,Lebanese,Service,Bihar,Young
71,F,Dalhousie,Chinese,Software Engineer,Himachal Pradesh,Senior Citizen
87,M,Rajauri,Mughlai,Bank,Jammu,Senior Citizen
24,M,Rewari,Punjabi,Service,Haryana,Working
69,M,Dalhousie,Thai,Data Scientist,Himachal Pradesh,Senior Citizen
25,M,Nainital,Lebanese,CA,Uttarakhand,Working
37,M,Kullu,Street Food,Software Engineer,Himachal Pradesh,Working
39,M,Dras,North Indian,Bank,Jammu,Working
73,M,Srinagar,Thai,MNC,Jammu,Senior Citizen
45,M,Bareily,Italian,CA,Uttar Pradesh,Working
15,F,Jaisalmer,Lebanese,Bank,Rajasthan,Young
59,M,Srinagar,Lebanese,Software Engineer,Jammu,Working
49,F,Patna,Thai,Self Employed,Bihar,Working
57,M,Baramulla,Italian,Service,Jammu,Working
95,M,Srinagar,Chinese,Service,Jammu,Senior Citizen
41,F,Khannauj,Continental,Data Scientist,Uttar Pradesh,Working
86,F,Nainital,Street Food,MNC,Uttarakhand,Senior Citizen
37,F,Pathankot,Street Food,Data Scientist,Punjab,Working
52,F,Kathua,North Indian,Self Employed,Jammu,Working
93,M,Udaipur,Thai,Bank,Rajasthan,Senior Citizen
2,F,Varanasi,Chinese,Business,Uttar Pradesh,Young
72,F,Dharamshala,Thai,CA,Himachal Pradesh,Senior Citizen
64,M,Chittorgarh,Continental,CA,Rajasthan,Senior Citizen
15,F,Chittorgarh,Mughlai,Teacher,Rajasthan,Young
42,F,Gurgaon,Continental,Service,Haryana,Working
34,M,Jaipur,Continental,MNC,Rajasthan,Working
32,M,Faridabad,North Indian,Software Engineer,Haryana,Working
88,F,Patna,North Indian,MNC,Bihar,Senior Citizen
35,M,Rishikesh,Thai,MNC,Uttarakhand,Working
18,F,Jaipur,Chinese,Data Scientist,Rajasthan,Young
80,M,Leh,Lebanese,Bank,Jammu,Senior Citizen
69,M,Alwar,North Indian,Business,Rajasthan,Senior Citizen
56,F,Dalhousie,Street Food,Software Engineer,Himachal Pradesh,Working
79,F,Jalandhar,Italian,Business,Punjab,Senior Citizen
99,M,Dharamshala,Italian,Service,Himachal Pradesh,Senior Citizen
40,F,Ajmer,Mughlai,Business,Rajasthan,Working
91,M,Jalandhar,Street Food,Bank,Punjab,Senior Citizen
18,M,Darbhanga,North Indian,Government Job,Bihar,Young
83,M,Noida,Italian,Self Employed,Uttar Pradesh,Senior Citizen
16,M,Dras,Lebanese,Data Scientist,Jammu,Young
10,M,Bhilwara,Chinese,Data Scientist,Rajasthan,Young
3,F,Shimla,Italian,Business,Himachal Pradesh,Young
22,F,Dalhousie,North Indian,Bank,Himachal Pradesh,Working
53,M,Manali,Punjabi,Bank,Himachal Pradesh,Working
48,M,Udaipur,Lebanese,MNC,Rajasthan,Working
14,F,Rohtak,Chinese,Business,Haryana,Young
17,M,Agra,Punjabi,MNC,Uttar Pradesh,Young
55,F,Una,Continental,Driver,Himachal Pradesh,Working
63,M,Varanasi,Lebanese,Self Employed,Uttar Pradesh,Senior Citizen
3,M,Leh,North Indian,Business,Jammu,Young
10,M,Kathua,Mughlai,CA,Jammu,Young
92,M,Jammu,North Indian,MNC,Jammu,Senior Citizen
85,F,Nainital,Thai,Business,Uttarakhand,Senior Citizen
42,M,Ludhiana,Continental,Driver,Punjab,Working
81,M,Abohar,Italian,Business,Punjab,Senior Citizen
81,M,Rewari,Lebanese,Data Scientist,Haryana,Senior Citizen
64,F,Abohar,Italian,Driver,Punjab,Senior Citizen
12,F,Dalhousie,Street Food,Bank,Himachal Pradesh,Young
2,F,Chandigarh,Street Food,Self Employed,Union Territory,Young
5,M,Ajmer,North Indian,Software Engineer,Rajasthan,Young
16,M,Gulmarg,Mughlai,Business,Jammu,Young
48,F,Ghaziabad,Lebanese,Business,Uttar Pradesh,Working
2,F,Khannauj,Street Food,Teacher,Uttar Pradesh,Young
10,M,Gulmarg,Italian,CA,Jammu,Young
68,F,Rewari,Lebanese,MNC,Haryana,Senior Citizen
65,M,Jammu,Thai,Government Job,Jammu,Senior Citizen
76,M,Meerut,Chinese,Self Employed,Uttar Pradesh,Senior Citizen
64,F,Hisar,Lebanese,Self Employed,Haryana,Senior Citizen
11,M,Agra,North Indian,Business,Uttar Pradesh,Young
45,F,Baramulla,Chinese,MNC,Jammu,Working
72,F,Delhi,Chinese,Government Job,Union Territory,Senior Citizen
54,F,Muzzafarpur,Continental,MNC,Bihar,Working
89,M,Agra,Lebanese,Teacher,Uttar Pradesh,Senior Citizen
4,M,Alwar,North Indian,Software Engineer,Rajasthan,Young
23,M,Ludhiana,Mughlai,Self Employed,Punjab,Working
92,F,Khannauj,Punjabi,CA,Uttar Pradesh,Senior Citizen
26,M,Una,Thai,Driver,Himachal Pradesh,Working
99,F,Rajauri,Mughlai,Driver,Jammu,Senior Citizen
32,F,Rajgir,Chinese,Bank,Bihar,Working
89,F,Ludhiana,North Indian,Business,Punjab,Senior Citizen
10,F,Amritsar,Continental,Government Job,Punjab,Young
19,M,Khannauj,Chinese,CA,Uttar Pradesh,Young
24,F,Pittorgarh,Lebanese,CA,Uttarakhand,Working
95,M,Darbhanga,Italian,Self Employed,Bihar,Senior Citizen
22,M,Dharamshala,Thai,CA,Himachal Pradesh,Working
41,F,Kathua,Italian,Bank,Jammu,Working
14,M,Jalandhar,Italian,Software Engineer,Punjab,Young
95,M,Kathua,Lebanese,Business,Jammu,Senior Citizen
61,F,Chittorgarh,Continental,Teacher,Rajasthan,Senior Citizen
90,F,Delhi,Thai,Government Job,Union Territory,Senior Citizen
75,F,Rewari,Continental,Self Employed,Haryana,Senior Citizen
92,F,Buxar,Thai,Data Scientist,Bihar,Senior Citizen
23,F,Khannauj,Continental,Driver,Uttar Pradesh,Working
63,M,Khajjar,Chinese,CA,Himachal Pradesh,Senior Citizen
60,F,Jalandhar,Lebanese,Bank,Punjab,Working
80,M,Srinagar,Lebanese,Self Employed,Jammu,Senior Citizen
6,F,Srinagar,Mughlai,Teacher,Jammu,Young
39,F,Baramulla,Thai,Data Scientist,Jammu,Working
21,M,Darbhanga,Continental,CA,Bihar,Working
82,M,Bhilwara,North Indian,Software Engineer,Rajasthan,Senior Citizen
88,M,Srinagar,North Indian,CA,Jammu,Senior Citizen
63,F,Chandigarh,Continental,Teacher,Union Territory,Senior Citizen
35,F,Hisar,Thai,Government Job,Haryana,Working
68,M,Abohar,Lebanese,Self Employed,Punjab,Senior Citizen
99,F,Abohar,Continental,Business,Punjab,Senior Citizen
4,M,Pittorgarh,Chinese,CA,Uttarakhand,Young
55,M,Rishikesh,Street Food,CA,Uttarakhand,Working
19,M,Varanasi,Lebanese,Government Job,Uttar Pradesh,Young
87,F,Kargil,Continental,Government Job,Jammu,Senior Citizen
52,F,Kanpur,North Indian,Bank,Uttar Pradesh,Working
73,F,Bareily,Mughlai,MNC,Uttar Pradesh,Senior Citizen
35,F,Rewari,Lebanese,Business,Haryana,Working
30,F,Kargil,Chinese,Service,Jammu,Working
89,M,Buxar,Lebanese,Self Employed,Bihar,Senior Citizen
61,M,Khajjar,North Indian,Software Engineer,Himachal Pradesh,Senior Citizen
17,F,Jammu,Mughlai,Data Scientist,Jammu,Young
48,F,Rohtak,Thai,Self Employed,Haryana,Working
42,F,Chittorgarh,Continental,Teacher,Rajasthan,Working
43,M,Haridwar,Chinese,Teacher,Uttarakhand,Working
69,M,Kanpur,Continental,MNC,Uttar Pradesh,Senior Citizen
25,M,Una,Continental,MNC,Himachal Pradesh,Working
78,F,Rajauri,Punjabi,CA,Jammu,Senior Citizen
15,F,Manali,North Indian,Bank,Himachal Pradesh,Young
4,M,Manali,Continental,CA,Himachal Pradesh,Young
47,M,Pathankot,Italian,Self Employed,Punjab,Working
76,F,Jaisalmer,Chinese,Service,Rajasthan,Senior Citizen
20,F,Jammu,Italian,Bank,Jammu,Young
2,M,Udaipur,North Indian,Teacher,Rajasthan,Young
62,M,Bikaner,Lebanese,Bank,Rajasthan,Senior Citizen
64,M,Kullu,Punjabi,MNC,Himachal Pradesh,Senior Citizen
88,M,Agra,Mughlai,Government Job,Uttar Pradesh,Senior Citizen
57,M,Nainital,North Indian,Driver,Uttarakhand,Working
50,M,Rohtak,Italian,MNC,Haryana,Working
69,M,Jodhpur,Thai,Data Scientist,Rajasthan,Senior Citizen
22,M,Dras,Street Food,CA,Jammu,Working
8,F,Bathinda,Punjabi,Government Job,Punjab,Young
30,M,Khannauj,Continental,Service,Uttar Pradesh,Working
49,M,Nainital,Punjabi,Data Scientist,Uttarakhand,Working
45,M,Dharamshala,Chinese,Driver,Himachal Pradesh,Working
78,M,Darbhanga,Punjabi,CA,Bihar,Senior Citizen
48,M,Abohar,Thai,Driver,Punjab,Working
86,F,Chittorgarh,Punjabi,Data Scientist,Rajasthan,Senior Citizen
81,F,Chandigarh,Chinese,Driver,Union Territory,Senior Citizen
3,F,Ambala,Lebanese,Data Scientist,Haryana,Young
63,F,Kullu,Punjabi,Business,Himachal Pradesh,Senior Citizen
53,F,Gulmarg,Chinese,Government Job,Jammu,Working
11,M,Bhilwara,North Indian,Bank,Rajasthan,Young
63,M,Dras,Continental,Business,Jammu,Senior Citizen
80,F,Bikaner,Mughlai,Business,Rajasthan,Senior Citizen
89,M,Rorkee,Italian,Business,Uttarakhand,Senior Citizen
39,F,Patna,North Indian,Service,Bihar,Working
67,F,Agra,Italian,Business,Uttar Pradesh,Senior Citizen
54,F,Kullu,Mughlai,Business,Himachal Pradesh,Working
37,F,Ludhiana,Punjabi,Software Engineer,Punjab,Working
46,M,Dalhousie,Thai,Data Scientist,Himachal Pradesh,Working
70,M,Kullu,Continental,Service,Himachal Pradesh,Senior Citizen
24,F,Rorkee,Chinese,Software Engineer,Uttarakhand,Working
85,M,Una,Street Food,Bank,Himachal Pradesh,Senior Citizen
29,M,Manali,Lebanese,Teacher,Himachal Pradesh,Working
61,M,Darbhanga,Punjabi,Teacher,Bihar,Senior Citizen
65,F,Baramulla,Mughlai,Service,Jammu,Senior Citizen
97,M,Hisar,Mughlai,Business,Haryana,Senior Citizen
36,F,Muzzafarpur,Continental,Service,Bihar,Working
76,M,Patiala,Street Food,Service,Punjab,Senior Citizen
88,M,Pittorgarh,Chinese,Self Employed,Uttarakhand,Senior Citizen
5,F,Nainital,Mughlai,Self Employed,Uttarakhand,Young
60,M,Bodh Gaya,Chinese,Data Scientist,Bihar,Working
30,M,Muzzafarpur,Chinese,Self Employed,Bihar,Working
52,M,Bikaner,Mughlai,MNC,Rajasthan,Working
21,M,Delhi,Punjabi,Driver,Union Territory,Working
33,M,Jammu,Thai,Self Employed,Jammu,Working
2,F,Nainital,Mughlai,Driver,Uttarakhand,Young
45,M,Kargil,Mughlai,Bank,Jammu,Working
95,F,Jaipur,Thai,Data Scientist,Rajasthan,Senior Citizen
52,M,Rajgir,Mughlai,MNC,Bihar,Working
52,M,Jaipur,Continental,CA,Rajasthan,Working
95,F,Rorkee,Continental,Teacher,Uttarakhand,Senior Citizen
4,M,Meerut,Thai,Business,Uttar Pradesh,Young
55,F,Ghaziabad,Continental,MNC,Uttar Pradesh,Working
28,F,Haridwar,Lebanese,Bank,Uttarakhand,Working
48,M,Nainital,North Indian,Software Engineer,Uttarakhand,Working
39,M,Faridkot,Continental,Government Job,Punjab,Working
9,M,Ambala,Chinese,Government Job,Haryana,Young
28,F,Rajauri,Continental,MNC,Jammu,Working
50,M,Bathinda,Street Food,Bank,Punjab,Working
77,F,Shimla,Street Food,Data Scientist,Himachal Pradesh,Senior Citizen
97,F,Pathankot,Thai,Government Job,Punjab,Senior Citizen
67,F,Chandigarh,Chinese,Driver,Union Territory,Senior Citizen
28,F,Abohar,Street Food,CA,Punjab,Working
92,M,Bathinda,Italian,Software Engineer,Punjab,Senior Citizen
96,F,Rewari,Mughlai,Government Job,Haryana,Senior Citizen
29,M,Jalandhar,Chinese,Self Employed,Punjab,Working
34,F,Noida,Chinese,Software Engineer,Uttar Pradesh,Working
43,M,Varanasi,Italian,MNC,Uttar Pradesh,Working
10,M,Abohar,Continental,Service,Punjab,Young
63,F,Nainital,Lebanese,Driver,Uttarakhand,Senior Citizen
71,F,Alwar,Continental,Self Employed,Rajasthan,Senior Citizen
97,F,Srinagar,Continental,Teacher,Jammu,Senior Citizen
94,M,Buxar,Thai,CA,Bihar,Senior Citizen
30,M,Kathua,Lebanese,Service,Jammu,Working
36,M,Rishikesh,North Indian,Government Job,Uttarakhand,Working
19,M,Lucknow,Punjabi,Self Employed,Uttar Pradesh,Young
35,F,Srinagar,Thai,MNC,Jammu,Working
8,F,Leh,Chinese,Bank,Jammu,Young
64,F,Mussoorie,Mughlai,Data Scientist,Uttarakhand,Senior Citizen
86,F,Delhi,Mughlai,Teacher,Union Territory,Senior Citizen
22,M,Gulmarg,Street Food,Business,Jammu,Working
85,M,Ghaziabad,Italian,Data Scientist,Uttar Pradesh,Senior Citizen
1,F,Kargil,Punjabi,Self Employed,Jammu,Young
2,F,Kasauli,Mughlai,Business,Himachal Pradesh,Young
79,M,Bodh Gaya,Thai,Bank,Bihar,Senior Citizen
93,M,Muzzafarpur,Street Food,MNC,Bihar,Senior Citizen
51,F,Manali,North Indian,Software Engineer,Himachal Pradesh,Working
14,M,Mussoorie,Street Food,Software Engineer,Uttarakhand,Young
3,F,Haridwar,Mughlai,Driver,Uttarakhand,Young
10,F,Chittorgarh,Chinese,Data Scientist,Rajasthan,Young
11,M,Srinagar,North Indian,Data Scientist,Jammu,Young
69,M,Rohtak,Thai,Government Job,Haryana,Senior Citizen
94,M,Udaipur,Mughlai,CA,Rajasthan,Senior Citizen
54,F,Manali,Mughlai,Government Job,Himachal Pradesh,Working
33,M,Nainital,Punjabi,Business,Uttarakhand,Working
27,M,Nainital,Italian,Teacher,Uttarakhand,Working
62,F,Bikaner,Street Food,Data Scientist,Rajasthan,Senior Citizen
81,M,Ajmer,Street Food,CA,Rajasthan,Senior Citizen
61,F,Mussoorie,North Indian,Bank,Uttarakhand,Senior Citizen
69,F,Leh,Thai,Software Engineer,Jammu,Senior Citizen
86,F,Noida,Mughlai,Driver,Uttar Pradesh,Senior Citizen
49,M,Nainital,Chinese,CA,Uttarakhand,Working
39,M,Pittorgarh,Chinese,Teacher,Uttarakhand,Working
48,M,Gulmarg,Chinese,Data Scientist,Jammu,Working
22,F,Delhi,Italian,Bank,Union Territory,Working
56,M,Rajgir,Punjabi,Service,Bihar,Working
74,M,Rohtak,Mughlai,Service,Haryana,Senior Citizen
90,F,Dalhousie,Lebanese,Self Employed,Himachal Pradesh,Senior Citizen
36,F,Delhi,Street Food,Data Scientist,Union Territory,Working
92,F,Alwar,Street Food,Teacher,Rajasthan,Senior Citizen
4,M,Jalandhar,Chinese,Bank,Punjab,Young
4,M,Alwar,Mughlai,Data Scientist,Rajasthan,Young
98,M,Jalandhar,Mughlai,CA,Punjab,Senior Citizen
57,F,Ludhiana,North Indian,Business,Punjab,Working
42,F,Faridabad,Thai,Service,Haryana,Working
26,M,Faridkot,Chinese,Business,Punjab,Working
42,F,Pathankot,North Indian,Driver,Punjab,Working
28,F,Varanasi,Thai,Software Engineer,Uttar Pradesh,Working
18,F,Jodhpur,Mughlai,Government Job,Rajasthan,Young
24,M,Darbhanga,Lebanese,Service,Bihar,Working
4,M,Agra,Thai,Data Scientist,Uttar Pradesh,Young
29,F,Ghaziabad,North Indian,Teacher,Uttar Pradesh,Working
88,F,Srinagar,Street Food,MNC,Jammu,Senior Citizen
36,F,Jalandhar,Lebanese,MNC,Punjab,Working
14,F,Meerut,Italian,Government Job,Uttar Pradesh,Young
25,F,Khajjar,Continental,Bank,Himachal Pradesh,Working
74,M,Manali,Street Food,Software Engineer,Himachal Pradesh,Senior Citizen
47,M,Gurgaon,Punjabi,CA,Haryana,Working
61,M,Rorkee,Italian,Software Engineer,Uttarakhand,Senior Citizen
30,F,Shimla,Continental,Business,Himachal Pradesh,Working
73,M,Ghaziabad,North Indian,CA,Uttar Pradesh,Senior Citizen
11,M,Khannauj,Street Food,MNC,Uttar Pradesh,Young
99,M,Kanpur,Mughlai,MNC,Uttar Pradesh,Senior Citizen
95,F,Pittorgarh,Continental,Software Engineer,Uttarakhand,Senior Citizen
94,F,Jaisalmer,Thai,MNC,Rajasthan,Senior Citizen
35,M,Manali,Street Food,Teacher,Himachal Pradesh,Working
53,F,Delhi,Mughlai,MNC,Union Territory,Working
18,M,Meerut,Lebanese,MNC,Uttar Pradesh,Young
49,F,Ludhiana,Chinese,Government Job,Punjab,Working
38,M,Rishikesh,North Indian,Government Job,Uttarakhand,Working
6,F,Patiala,North Indian,Service,Punjab,Young
49,M,Ludhiana,Continental,Service,Punjab,Working
62,F,Rewari,Italian,Government Job,Haryana,Senior Citizen
29,M,Srinagar,Chinese,Bank,Jammu,Working
60,M,Buxar,Thai,Business,Bihar,Working
55,F,Haridwar,Punjabi,Self Employed,Uttarakhand,Working
51,M,Lucknow,Lebanese,Government Job,Uttar Pradesh,Working
53,M,Udaipur,Punjabi,Data Scientist,Rajasthan,Working
66,M,Meerut,Lebanese,Government Job,Uttar Pradesh,Senior Citizen
96,F,Chittorgarh,Street Food,Data Scientist,Rajasthan,Senior Citizen
9,M,Patiala,Mughlai,MNC,Punjab,Young
62,M,Buxar,Thai,Business,Bihar,Senior Citizen
31,M,Khannauj,Street Food,Teacher,Uttar Pradesh,Working
16,M,Dras,Italian,Bank,Jammu,Young
37,F,Khajjar,Street Food,MNC,Himachal Pradesh,Working
33,F,Meerut,Street Food,Software Engineer,Uttar Pradesh,Working
9,M,Delhi,Italian,Teacher,Union Territory,Young
53,M,Una,Punjabi,Bank,Himachal Pradesh,Working
38,F,Nainital,Thai,MNC,Uttarakhand,Working
78,F,Bhilwara,North Indian,CA,Rajasthan,Senior Citizen
41,F,Manali,Punjabi,CA,Himachal Pradesh,Working
24,M,Jammu,Thai,Software Engineer,Jammu,Working
90,F,Jammu,Continental,Software Engineer,Jammu,Senior Citizen
43,F,Alwar,Punjabi,Data Scientist,Rajasthan,Working
83,M,Udaipur,Continental,Government Job,Rajasthan,Senior Citizen
64,F,Pittorgarh,Punjabi,Government Job,Uttarakhand,Senior Citizen
78,M,Jaisalmer,North Indian,Self Employed,Rajasthan,Senior Citizen
84,F,Pittorgarh,Mughlai,Service,Uttarakhand,Senior Citizen
3,F,Pittorgarh,Lebanese,Service,Uttarakhand,Young
29,F,Amritsar,Thai,Government Job,Punjab,Working
5,F,Chittorgarh,Italian,Teacher,Rajasthan,Young
61,F,Haridwar,Italian,Software Engineer,Uttarakhand,Senior Citizen
56,F,Lucknow,Italian,MNC,Uttar Pradesh,Working
54,M,Rorkee,Mughlai,Government Job,Uttarakhand,Working
27,M,Buxar,Thai,Self Employed,Bihar,Working
48,F,Kullu,Punjabi,CA,Himachal Pradesh,Working
59,F,Alwar,Punjabi,Government Job,Rajasthan,Working
78,F,Faridabad,Mughlai,Teacher,Haryana,Senior Citizen
